,Created At,positivi,negativi,neutrali
44765,2021-03-08 10:13:42,0,0,1
44766,2021-03-08 10:13:42,0,0,1
44767,2021-03-08 10:13:41,0,0,1
44768,2021-03-08 10:13:41,0,0,1
44769,2021-03-08 10:13:41,0,0,1
44770,2021-03-08 10:13:41,0,0,1
44771,2021-03-08 10:13:41,1,0,0
44772,2021-03-08 10:13:39,0,0,1
44773,2021-03-08 10:13:38,0,0,1
44774,2021-03-08 10:13:34,0,1,0
44775,2021-03-08 10:13:34,1,0,0
44776,2021-03-08 10:13:33,0,0,1
44777,2021-03-08 10:13:30,0,1,0
44778,2021-03-08 10:13:28,0,0,1
44779,2021-03-08 10:13:28,0,1,0
44780,2021-03-08 10:13:27,0,0,1
44781,2021-03-08 10:13:27,1,0,0
44782,2021-03-08 10:13:26,0,1,0
44783,2021-03-08 10:13:25,0,0,1
44784,2021-03-08 10:13:24,0,0,1
44785,2021-03-08 10:13:24,0,0,1
44786,2021-03-08 10:13:24,0,0,1
44787,2021-03-08 10:13:24,0,0,1
44788,2021-03-08 10:13:23,0,0,1
44789,2021-03-08 10:13:22,1,0,0
44790,2021-03-08 10:13:22,1,0,0
44791,2021-03-08 10:13:19,0,0,1
44792,2021-03-08 10:13:17,1,0,0
44793,2021-03-08 10:13:16,0,1,0
44794,2021-03-08 10:13:16,0,0,1
44795,2021-03-08 10:13:15,0,0,1
44796,2021-03-08 10:13:15,1,0,0
44797,2021-03-08 10:13:15,0,1,0
44798,2021-03-08 10:13:14,0,0,1
44799,2021-03-08 10:13:14,0,0,1
44800,2021-03-08 10:13:14,0,0,1
44801,2021-03-08 10:13:13,1,0,0
44802,2021-03-08 10:13:12,0,1,0
44803,2021-03-08 10:13:10,0,0,1
44804,2021-03-08 10:13:09,0,1,0
44805,2021-03-08 10:13:09,0,0,1
44806,2021-03-08 10:13:08,0,0,1
44807,2021-03-08 10:13:07,0,0,1
44808,2021-03-08 10:13:05,0,1,0
44809,2021-03-08 10:13:04,0,0,1
44810,2021-03-08 10:13:03,0,0,1
44811,2021-03-08 10:13:03,0,0,1
44812,2021-03-08 10:13:02,0,0,1
44813,2021-03-08 10:13:02,0,0,1
44814,2021-03-08 10:13:01,0,0,1
44815,2021-03-08 10:13:01,0,0,1
44816,2021-03-08 10:13:00,0,0,1
44817,2021-03-08 10:12:59,0,0,1
44818,2021-03-08 10:12:59,0,0,1
44819,2021-03-08 10:12:57,0,0,1
44820,2021-03-08 10:12:56,0,0,1
44821,2021-03-08 10:12:56,0,0,1
44822,2021-03-08 10:12:56,0,0,1
44823,2021-03-08 10:12:54,0,0,1
44824,2021-03-08 10:12:54,0,0,1
44825,2021-03-08 10:12:54,0,0,1
44826,2021-03-08 10:12:54,0,1,0
44827,2021-03-08 10:12:53,0,0,1
44828,2021-03-08 10:12:53,1,0,0
44829,2021-03-08 10:12:53,0,0,1
44830,2021-03-08 10:12:52,0,1,0
44831,2021-03-08 10:12:52,0,0,1
44832,2021-03-08 10:12:51,0,1,0
44833,2021-03-08 10:12:50,0,0,1
44834,2021-03-08 10:12:50,0,0,1
44835,2021-03-08 10:12:46,0,0,1
44836,2021-03-08 10:12:46,0,0,1
44837,2021-03-08 10:12:46,0,1,0
44838,2021-03-08 10:12:46,0,0,1
44839,2021-03-08 10:12:46,0,0,1
44840,2021-03-08 10:12:44,0,0,1
